# Lagrange radii [code units]
#1:t 2:r(0.0001) 3:r(0.0003) 4:r(0.0005) 5:r(0.0007) 6:r(0.0009) 7:r(0.001) 8:r(0.003) 9:r(0.005) 10:r(0.007) 11:r(0.009) 12:r(0.01) 13:r(0.03) 14:r(0.05) 15:r(0.07) 16:r(0.09) 17:r(0.1) 18:r(0.2) 19:r(0.3) 20:r(0.4) 21:r(0.5) 22:r(0.6) 23:r(0.7) 24:r(0.8) 25:r(0.9) 26:r(0.99)
1.178233246e-04 3.213504e-02 4.484800e-02 5.246110e-02 5.935921e-02 6.356611e-02 6.519618e-02 9.078022e-02 1.073451e-01 1.185969e-01 1.314309e-01 1.368050e-01 1.991287e-01 2.411297e-01 2.770072e-01 3.056330e-01 3.198517e-01 4.472732e-01 5.693907e-01 6.945623e-01 8.301070e-01 1.000594e+00 1.207796e+00 1.488504e+00 1.928636e+00 3.073129e+00 
1.204616731e-04 3.158031e-02 3.933589e-02 4.564169e-02 4.971429e-02 5.766065e-02 5.988508e-02 8.611298e-02 1.049404e-01 1.172701e-01 1.288301e-01 1.316279e-01 1.963043e-01 2.417981e-01 2.743898e-01 3.053986e-01 3.199269e-01 4.486385e-01 5.698895e-01 6.936825e-01 8.321416e-01 1.001149e+00 1.203264e+00 1.481547e+00 1.917840e+00 3.074756e+00 
1.227712590e-04 2.953545e-02 4.541203e-02 5.153720e-02 5.373197e-02 6.107739e-02 6.271917e-02 8.334952e-02 1.024271e-01 1.165394e-01 1.278071e-01 1.332960e-01 1.972703e-01 2.374137e-01 2.730703e-01 3.059898e-01 3.202121e-01 4.460603e-01 5.725911e-01 6.963396e-01 8.398839e-01 1.007646e+00 1.206520e+00 1.481278e+00 1.912983e+00 3.053386e+00 
1.249698949e-04 3.306335e-02 4.554956e-02 4.991829e-02 5.688333e-02 6.352682e-02 6.537041e-02 8.773576e-02 1.015268e-01 1.148554e-01 1.257694e-01 1.322959e-01 1.961758e-01 2.365726e-01 2.753738e-01 3.045629e-01 3.185070e-01 4.505745e-01 5.693259e-01 6.956712e-01 8.354958e-01 1.003318e+00 1.208637e+00 1.478312e+00 1.913512e+00 3.047564e+00 
1.296102276e-04 2.704310e-02 3.482613e-02 3.998463e-02 4.638669e-02 5.193539e-02 5.527568e-02 8.289683e-02 1.041371e-01 1.152653e-01 1.279812e-01 1.319376e-01 1.965285e-01 2.434775e-01 2.771464e-01 3.064486e-01 3.226719e-01 4.501018e-01 5.745904e-01 6.972204e-01 8.330480e-01 9.959517e-01 1.205390e+00 1.478584e+00 1.926908e+00 3.094038e+00 
1.323063969e-04 2.820119e-02 4.301853e-02 4.531120e-02 5.225822e-02 5.676504e-02 5.804508e-02 7.715547e-02 9.664174e-02 1.164409e-01 1.275818e-01 1.322964e-01 1.962463e-01 2.408585e-01 2.765895e-01 3.076767e-01 3.209648e-01 4.506319e-01 5.745219e-01 7.003390e-01 8.390006e-01 1.001632e+00 1.207047e+00 1.478954e+00 1.919806e+00 3.081858e+00 
1.363247834e-04 2.871121e-02 4.037885e-02 4.465331e-02 4.609483e-02 4.747792e-02 5.062731e-02 8.400206e-02 1.003664e-01 1.157699e-01 1.271996e-01 1.336499e-01 1.961381e-01 2.391435e-01 2.746056e-01 3.078695e-01 3.212527e-01 4.513454e-01 5.781413e-01 7.052960e-01 8.417485e-01 1.008469e+00 1.217880e+00 1.498265e+00 1.920811e+00 3.071947e+00 
1.398847782e-04 3.181199e-02 4.594185e-02 5.388384e-02 5.897976e-02 6.299258e-02 6.301110e-02 8.616930e-02 1.041137e-01 1.170513e-01 1.286026e-01 1.342186e-01 1.982854e-01 2.440145e-01 2.803659e-01 3.103244e-01 3.241107e-01 4.555740e-01 5.759354e-01 7.010252e-01 8.404601e-01 1.012238e+00 1.227057e+00 1.507425e+00 1.937605e+00 3.079767e+00 
1.427501996e-04 3.159768e-02 4.355424e-02 5.038860e-02 5.637832e-02 6.168419e-02 6.437955e-02 8.909567e-02 1.075488e-01 1.207633e-01 1.304871e-01 1.338121e-01 2.008035e-01 2.466253e-01 2.814022e-01 3.131220e-01 3.278735e-01 4.576165e-01 5.797585e-01 7.055837e-01 8.429354e-01 1.011903e+00 1.217875e+00 1.494469e+00 1.942384e+00 3.105004e+00 
1.443629700e-04 3.747109e-02 4.802717e-02 5.567778e-02 6.161087e-02 6.801441e-02 7.048481e-02 8.792505e-02 1.060511e-01 1.193822e-01 1.291837e-01 1.344448e-01 1.981483e-01 2.412679e-01 2.777417e-01 3.091390e-01 3.229476e-01 4.551887e-01 5.758524e-01 7.037482e-01 8.462892e-01 1.013260e+00 1.220291e+00 1.504003e+00 1.947364e+00 3.093512e+00 
