# Dynamical information [code units]
#1:t #2:Dt #3:tcount #4:N #5:M #6:VR #7:N_c #8:r_c #9:r_max #10:Etot #11:KE #12:PE #13:Etot_int #14:Etot_bin #15:E_cenma #16:Eesc #17:Ebesc #18:Eintesc #19:Eoops #20:Etot+Eoops #21:r_h #22:rho_0 #23:rc_spitzer #24:v0_rms #25:rc_nb #26.DMse(MSUN) #27.DMrejuv(MSUN) #28.N_c_nb
0.00012961023 4.6403328e-06 54 399797 0.96903247 1.0058397 48454.024 0.37287949 8.3098589 -0.857215 0.22979446 -0.45692062 0 -0.63036127 0 0.00027405403 -1.6195018e-06 0 0 -0.857215 0.83305213 5.5049373 0.16858676 0.80955053 0.29459279 0 0 23894.102
0.0001323064 2.6961692e-06 55 399793 0.96738952 1.0065544 41690.05 0.37589284 8.2542595 -0.8359983 0.22898071 -0.45497931 0 -0.61028043 0 0.00028233895 -1.6195018e-06 0 0 -0.8359983 0.8390103 4.1693307 0.1926994 0.80530024 0.32158176 0 0 26104.446
0.00013632478 4.0183866e-06 56 399785 0.96517449 1.0039251 48701.641 0.37638191 8.0255269 -0.83115585 0.22606979 -0.45037182 0 -0.60714516 0 0.00029305271 -1.7120486e-06 0 0 -0.83115585 0.84175179 5.0167844 0.17572914 0.80556538 0.30603445 0 0 26179.921
0.00013988478 3.5599948e-06 57 399784 0.96320834 1.0017386 48288.724 0.37444441 7.9824817 -0.83746051 0.22380718 -0.44683749 0 -0.61472206 0 0.00029357139 -1.7120486e-06 0 0 -0.83746051 0.84046675 5.0721492 0.17431509 0.80348044 0.30104709 0 0 25094.986
0.0001427502 2.8654214e-06 58 399784 0.96163316 1.0015945 47029.615 0.37731561 8.3626317 -0.83609376 0.22270761 -0.44470613 0 -0.61438719 0 0.00029364998 -1.7120486e-06 0 0 -0.83609376 0.8429367 4.6679137 0.1808102 0.79951874 0.3037803 0 0 24543.469
0.00014436297 1.6127704e-06 59 399783 0.96063396 1.0035783 44648.179 0.38180912 8.1453476 -0.8174495 0.22278155 -0.44397443 0 -0.59655249 0 0.00029757746 -1.7120486e-06 0 0 -0.8174495 0.84629306 4.1533127 0.19092078 0.7963332 0.32168611 0 0 26703.105
0.00014705938 2.6964105e-06 60 399778 0.95882162 1.0020702 50252.839 0.38111256 8.5563617 -0.82752386 0.22083487 -0.44075729 0 -0.60790048 0 0.00030081204 -1.7847531e-06 0 0 -0.82752386 0.85149634 4.6572773 0.18021484 0.7959777 0.30435717 0 0 25594.781
0.00014893616 1.8767834e-06 61 399776 0.95782777 1.0026629 153779.9 0.37622755 7.6295816 -0.81184807 0.22042422 -0.43967764 0 -0.59289371 0 0.00030084305 -1.7847531e-06 0 0 -0.81184807 0.84979232 14.680318 0.10117167 0.79336115 0.18631197 0 0 18675.407
0.00015395279 5.016622e-06 62 399772 0.95412015 1.0068782 46272.447 0.3801324 7.5619392 -0.83406949 0.21930374 -0.43561125 0 -0.61808807 0 0.00032787368 -1.7847531e-06 0 0 -0.83406949 0.84813677 4.1836144 0.18914975 0.79181899 0.31442677 0 0 26186.433
0.00016205475 8.1019601e-06 63 399767 0.95040009 1.0075308 45678.051 0.38045397 8.0554687 -0.84209256 0.21676297 -0.43028556 0 -0.6288972 0 0.00032900941 -1.7847531e-06 0 0 -0.84209256 0.85689211 3.8918797 0.19661098 0.79383779 0.31735098 0 0 26510.672
